step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
47,11.75,10.175246822097293,25.9291556516307,0.0,-15.753908829533408,0.0,15.753908829533408,0,1.0024685,1.0184928,11.897513251423142,1.0024685,1.0046902,1.0066146,1.0083067,1.0100594,1.0116246,1.0132922,1.0146685,1.0160923,1.0172515,1.0184928
48,12.0,8.78135858745416,22.804276647770436,0.0,-14.022918060316275,0.0,14.022918060316275,0,1.0021998,1.0165982,12.058795772763334,1.0021998,1.004166,1.0058776,1.0073988,1.0090001,1.0104223,1.0119141,1.0131698,1.0144666,1.0154914,1.0165982
49,12.25,9.587962617955053,22.37444642862276,0.0,-12.786483810667708,0.0,12.786483810667708,0,1.0020044,1.0151117,9.268556743501716,1.0020044,1.0037869,1.0053529,1.0067258,1.0081651,1.009461,1.0108404,1.011955,1.013142,1.0141006,1.0151117
50,12.5,9.106916231059548,23.265225711457436,0.0,-14.158309480397888,0.0,14.158309480397888,0,1.0022202,1.0166535,11.452867799429482,1.0022202,1.0042119,1.0059338,1.0074649,1.0090609,1.0104771,1.0119776,1.0132132,1.0145193,1.0155363,1.0166535
51,12.75,9.884218456450578,24.06228584649684,0.0,-14.178067390046264,0.0,14.178067390046264,0,1.0022223,1.0165787,13.58275448662999,1.0022223,1.0042142,1.0059532,1.0074596,1.009037,1.0104322,1.0119184,1.0131608,1.0144457,1.0154594,1.0165787
52,13.0,8.357373152558846,22.986661708780453,0.0,-14.629288556221606,0.0,14.629288556221606,0,1.0014772,1.0083253,-27.04655358536335,1.0014772,1.0027229,1.0037473,1.0045148,1.0053488,1.0059994,1.0067362,1.0072079,1.0077285,1.0079929,1.0083253
53,13.25,9.79644565709286,24.47075475232622,0.0,-14.674309095233358,0.0,14.674309095233358,0,1.0011147,1.0042887,31.19848624479323,1.0011147,1.0019991,1.0026329,1.0030246,1.0034727,1.0037173,1.004066,1.0041478,1.0042887,1.0041578,1.0041258
54,13.5,9.984597361294178,22.731727222716547,0.0,-12.74712986142237,0.0,12.74712986142237,0,1.0009602,1.0035053,36.21279675066298,1.0009602,1.0017214,1.0022322,1.0025276,1.0028911,1.003103,1.0033897,1.0034077,1.0035053,1.0033822,1.0033503
55,13.75,9.016245722054636,20.44052482219481,0.0,-11.424279100140174,0.0,11.424279100140174,0,1.0008565,1.003126,31.19603129259973,1.0008565,1.0015174,1.001971,1.0022361,1.0025693,1.0027326,1.0029999,1.0030394,1.003126,1.0029997,1.0029677
56,14.0,8.76946586620567,22.02375455955871,0.0,-13.254288693353041,0.0,13.254288693353041,0,1.0010034,1.0039208,40.594572485320214,1.0010034,1.0017796,1.002331,1.0027001,1.0031146,1.0033594,1.0037026,1.0037872,1.0039208,1.0038313,1.0037993
