step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
32,8.0,10.798233118951298,11.9387707250304,0.0,-1.1405376060791017,0.0,1.1405376060791017,0,0.9998795,1.000227,-18.775636075600346,1.0001514,1.000227,1.0002058,1.0000808,1.0000235,0.999898,0.9999494,0.9998963,0.9999265,0.9998795,0.99997085
33,8.25,12.290345307101258,13.383871044847375,0.0,-1.0935257377461163,0.0,1.0935257377461163,0,0.9994557,1.0001775,-20.839255518659773,1.0001408,1.0001775,1.00011,0.99992585,0.99982685,0.9996381,0.9996491,0.999537,0.99952894,0.9994557,0.99954355
34,8.5,10.938403988573532,15.510230141173281,0.0,-4.5718261525997494,0.0,4.5718261525997494,0,1.0007011,1.0042236,-19.845144806771657,1.0007011,1.0012883,1.001743,1.0020784,1.002477,1.0027616,1.0031134,1.0033206,1.0036391,1.0038582,1.0042236
35,8.75,11.372328541253221,16.689628790953297,0.0,-5.317300249700075,0.0,5.317300249700075,0,1.0008187,1.0053109,-10.348871732293247,1.0008187,1.0015233,1.002097,1.0025394,1.0030572,1.0034398,1.003919,1.0042549,1.0046285,1.0048866,1.0053109
36,9.0,10.577404203426692,17.197073636060033,0.0,-6.619669432633341,0.0,6.619669432633341,0,1.0010271,1.0073206,-8.970832897713596,1.0010271,1.001937,1.0027457,1.0033821,1.0041087,1.0047011,1.0053754,1.005884,1.0064285,1.0067936,1.0073206
37,9.25,10.314443604631142,17.943849557612204,0.0,-7.629405952981061,0.0,7.629405952981061,0,1.0011873,1.0090448,-4.718772924329552,1.0011873,1.0022552,1.0031878,1.0039725,1.0048776,1.0056328,1.0064775,1.0071746,1.0079077,1.0084383,1.0090448
38,9.5,10.31116805803123,18.75231878193346,0.0,-8.441150723902231,0.0,8.441150723902231,0,1.0013157,1.0102597,-2.018771597749182,1.0013157,1.0025246,1.0036058,1.0045116,1.0055422,1.0064257,1.0073849,1.0081829,1.0090005,1.0095894,1.0102597
39,9.75,9.846904160873024,20.611044854206376,0.0,-10.764140693333353,0.0,10.764140693333353,0,1.0016841,1.0130422,-0.5361161720680023,1.0016841,1.0032326,1.004613,1.0057919,1.0070965,1.0082233,1.009421,1.0103847,1.0114006,1.0121895,1.0130422
40,10.0,11.01404499503281,17.950847044694214,0.0,-6.936802049661404,0.0,6.936802049661404,0,1.0010759,1.0084324,-16.307359168710995,1.0010759,1.002069,1.0029572,1.0036914,1.00457,1.0053138,1.0061326,1.0067502,1.0074122,1.0078803,1.0084324
41,10.25,7.203598277369354,22.605837846824357,0.0,-15.402239569455004,0.0,15.402239569455004,0,1.0024196,1.0182412,-26.566888666779324,1.0024196,1.0046016,1.0065333,1.0082268,1.0099883,1.0115324,1.0131536,1.014509,1.0158943,1.0170271,1.0182412
42,10.5,7.1277767928812334,20.10043772617749,0.0,-12.972660933296256,0.0,12.972660933296256,0,1.002038,1.0155103,9.405880905750418,1.002038,1.0038908,1.0055383,1.0069884,1.0084766,1.0097944,1.0111778,1.0123165,1.0135089,1.0144852,1.0155103
43,10.75,6.644393479282879,20.806489203134003,0.0,-14.162095723851124,0.0,14.162095723851124,0,1.0022258,1.0168489,15.570364621597772,1.0022258,1.0042182,1.0059721,1.0075403,1.0091627,1.0105975,1.0121137,1.0133847,1.0146794,1.0157316,1.0168489
44,11.0,6.440176451272249,23.940585862186097,0.0,-17.500409410913846,0.0,17.500409410913846,0,1.0027481,1.0209498,22.253850316137488,1.0027481,1.0052356,1.0074567,1.0094391,1.011456,1.0132418,1.0150987,1.0166626,1.0182531,1.0195742,1.0209498
45,11.25,6.969944946877845,25.030567157560377,0.0,-18.06062221068253,0.0,18.06062221068253,0,1.0028343,1.0215123,29.977291141533904,1.0028343,1.0053873,1.0076609,1.0096884,1.0117719,1.0136169,1.0155245,1.0171233,1.0187591,1.0200936,1.0215123
46,11.5,7.986103364453624,23.376215072337715,0.0,-15.390111707884092,0.0,15.390111707884092,0,1.0024158,1.0182102,14.102625751929404,1.0024158,1.0045723,1.0064864,1.0081861,1.0099534,1.0115013,1.0131181,1.0144687,1.0158657,1.0169972,1.0182102
47,11.75,7.461847669538015,25.9291556516307,0.0,-18.467307982092684,0.0,18.467307982092684,0,1.002897,1.0219535,26.1393369607154,1.002897,1.005521,1.0078342,1.0098848,1.0119798,1.01385,1.0157952,1.0174367,1.0191131,1.0205033,1.0219535
48,12.0,6.43966296413305,22.804276647770436,0.0,-16.364613683637387,0.0,16.364613683637387,0,1.002571,1.0195718,21.96747127356418,1.002571,1.0048896,1.0069399,1.0087695,1.0106577,1.0123378,1.0140688,1.0155473,1.0170559,1.0182837,1.0195718
49,12.25,7.031172586500372,22.37444642862276,0.0,-15.34327384212239,0.0,15.34327384212239,0,1.0024104,1.0183507,20.73651116055695,1.0024104,1.0045788,1.0065081,1.0082164,1.0099733,1.0115495,1.0131868,1.0145521,1.0159703,1.0171412,1.0183507
50,12.5,6.678405236110336,23.265225711457436,0.0,-16.5868204753471,0.0,16.5868204753471,0,1.002605,1.0197587,23.49759890488245,1.002605,1.0049598,1.0070332,1.0088842,1.0107827,1.012471,1.0142208,1.0156957,1.0172222,1.0184538,1.0197587
51,12.75,7.248426868063757,24.06228584649684,0.0,-16.813858978433085,0.0,16.813858978433085,0,1.0026398,1.01996,25.940849656057186,1.0026398,1.0050251,1.0071387,1.0089962,1.0109059,1.0126008,1.0143623,1.0158614,1.0173916,1.0186372,1.01996
52,13.0,6.128740311876488,22.986661708780453,0.0,-16.857921396903965,0.0,16.857921396903965,0,1.0026486,1.0201702,27.410596775540306,1.0026486,1.0050449,1.0071971,1.0090796,1.0110108,1.0127306,1.0145131,1.0160226,1.0175675,1.0188441,1.0201702
53,13.25,7.184060148534765,24.47075475232622,0.0,-17.286694603791453,0.0,17.286694603791453,0,1.0019021,1.0115898,-18.879616908407833,1.0019021,1.0035484,1.0049231,1.0060333,1.0071847,1.0081047,1.0091006,1.0098157,1.0105739,1.0110457,1.0115898
54,13.5,7.322038064949063,22.731727222716547,0.0,-15.409689157767485,0.0,15.409689157767485,0,1.0011787,1.004671,18.629047779076096,1.0011787,1.0021313,1.0028186,1.0032666,1.0037645,1.0040741,1.0044384,1.0045254,1.004671,1.0045723,1.0045403
55,13.75,6.611913529506733,20.44052482219481,0.0,-13.828611292688077,0.0,13.828611292688077,0,1.0010539,1.0041736,43.59015476773055,1.0010539,1.0018924,1.0025054,1.002907,1.0033587,1.0036162,1.00395,1.0040445,1.0041736,1.0040727,1.0040407
56,14.0,6.430941635217492,22.02375455955871,0.0,-15.592812924341219,0.0,15.592812924341219,0,1.0011952,1.004907,52.086757776254316,1.0011952,1.0021461,1.002853,1.0033475,1.0038754,1.0042039,1.0046045,1.0047377,1.004907,1.0048329,1.0048009
57,14.25,6.851940113164548,19.531191712081597,0.0,-12.679251598917048,0.0,12.679251598917048,0,1.0009617,1.0036982,38.4991855423079,1.0009617,1.0017152,1.002264,1.0026122,1.0030056,1.0032308,1.0035176,1.0035758,1.0036982,1.0035889,1.003557
58,14.5,6.80530065301266,17.050960872047668,0.0,-10.245660219035008,0.0,10.245660219035008,0,1.000767,1.0029162,30.75848893212222,1.000767,1.001361,1.0017775,1.0020344,1.0023569,1.0025414,1.0027788,1.0028269,1.0029162,1.002834,1.002802
59,14.75,7.276572463250061,17.764767890486716,0.0,-10.488195427236654,0.0,10.488195427236654,0,1.0007854,1.0029665,30.484708081118878,1.0007854,1.0013871,1.0018021,1.0020592,1.002369,1.0025414,1.0028042,1.0028685,1.0029665,1.0028706,1.0028386
60,15.0,7.137228091172474,16.59747065501966,0.0,-9.460242563847185,0.0,9.460242563847185,0,1.0007033,1.0026872,27.1840491991119,1.0007033,1.0012592,1.0016508,1.0018884,1.0021638,1.0023228,1.002556,1.0026,1.0026872,1.0025856,1.0025537
